"Petition","URL","State","Signatures Count"
"Fund reconstruction surgery and psychosexual therapy for FGM survivors","https://petition.parliament.uk/petitions/700001","closed",939
"Apply for the UK to join the European Union as a full member as soon as possible","https://petition.parliament.uk/petitions/700005","closed",136650
"Require dating apps to ensure ID and DBS checks on users & ban violent offenders","https://petition.parliament.uk/petitions/700007","closed",1216
"Fund Covid booster vaccines for all, with priority for Long Covid sufferers","https://petition.parliament.uk/petitions/700009","closed",716
"Only allow alcohol to be sold in pubs and in wine stores between certain times
","https://petition.parliament.uk/petitions/700010","closed",90
"Donate migrant boats to Ukraine","https://petition.parliament.uk/petitions/700011","closed",436
"Limit the sale and use of Fireworks to licence holders only","https://petition.parliament.uk/petitions/700013","closed",87527
"Decriminalise Abortion","https://petition.parliament.uk/petitions/700014","closed",103653
"Provide funding to the NHS to offer full STI screening at beginning of pregnancy","https://petition.parliament.uk/petitions/700015","closed",1149
"Stop the Early Release of all Domestic Abusers Under the SDS40 Scheme","https://petition.parliament.uk/petitions/700016","closed",2078
"Support families by bringing nannies into the 15/30 hours free childcare scheme","https://petition.parliament.uk/petitions/700017","closed",2257
"Don't put an extra duty on vape products","https://petition.parliament.uk/petitions/700018","closed",1048
"Adapt EYFS and KS1 Literacy Curriculums to be inclusive for Non-Verbal children","https://petition.parliament.uk/petitions/700021","closed",2026
"Ban fossil fuel advertising and sponsorship","https://petition.parliament.uk/petitions/700024","closed",110519
"Maintain the £3 bus fare cap permanently","https://petition.parliament.uk/petitions/700027","closed",628
"Increase Carer's Allowance to equal minimum wage","https://petition.parliament.uk/petitions/700028","closed",11299
"Embed food, farming, and sustainability education into the national curriculum","https://petition.parliament.uk/petitions/700029","closed",14480
"More funding to diagnose & support individuals with ADHD & provide training ","https://petition.parliament.uk/petitions/700033","closed",1189
"Make breaking a manifesto against the law and trigger a General Election","https://petition.parliament.uk/petitions/700035","closed",53787
"Ban driven grouse shooting","https://petition.parliament.uk/petitions/700036","closed",104341
"Rights Beyond Borders: Improve employment policies for international students","https://petition.parliament.uk/petitions/700037","closed",4181
"Launch strategy to involve female asylum seekers in reframing asylum policy","https://petition.parliament.uk/petitions/700038","closed",52
"Reduce the immigration health surcharge for family visas","https://petition.parliament.uk/petitions/700039","closed",330
"Hold a referendum on re-joining the European Union","https://petition.parliament.uk/petitions/700041","closed",16594
"Allow parents to take their children out of school for up to 10 days fine free.","https://petition.parliament.uk/petitions/700047","closed",181597
"Reduce the maximum decibel limit on fireworks from 120 to 90","https://petition.parliament.uk/petitions/700049","closed",4197
"Negotiate a youth mobility scheme with the EU","https://petition.parliament.uk/petitions/700055","closed",1552
"Compensate people who have been harmed by sodium valproate","https://petition.parliament.uk/petitions/700057","closed",702
"Launch a railcard for those over the age of 30 covering all of the UK.","https://petition.parliament.uk/petitions/700058","closed",863
"Ensure all the press is regulated by a Press Recognition Panel approved body","https://petition.parliament.uk/petitions/700061","closed",1824
