Petition,URL,State,Signatures Count,petition_id,opened_date,debate_threshold_reached,scheduled_debate_date,closed_date
Fund reconstruction surgery and psychosexual therapy for FGM survivors,https://petition.parliament.uk/petitions/700001,closed,939,700001,2024-10-31,,,2025-04-30
Apply for the UK to join the European Union as a full member as soon as possible,https://petition.parliament.uk/petitions/700005,closed,136650,700005,2024-10-31,2025-02-11,2025-03-24,2025-04-30
Require dating apps to ensure ID and DBS checks on users & ban violent offenders,https://petition.parliament.uk/petitions/700007,closed,1216,700007,2024-11-05,,,2025-05-05
"Fund Covid booster vaccines for all, with priority for Long Covid sufferers",https://petition.parliament.uk/petitions/700009,closed,716,700009,2024-12-05,,,2025-06-05
"Only allow alcohol to be sold in pubs and in wine stores between certain times
",https://petition.parliament.uk/petitions/700010,closed,90,700010,2024-11-06,,,2025-05-06
Donate migrant boats to Ukraine,https://petition.parliament.uk/petitions/700011,closed,436,700011,2024-11-05,,,2025-05-05
Limit the sale and use of Fireworks to licence holders only,https://petition.parliament.uk/petitions/700013,closed,87527,700013,2024-11-05,,2024-12-09,2025-05-05
Decriminalise Abortion,https://petition.parliament.uk/petitions/700014,closed,103653,700014,2024-11-04,2025-03-05,2025-06-02,2025-05-04
Provide funding to the NHS to offer full STI screening at beginning of pregnancy,https://petition.parliament.uk/petitions/700015,closed,1149,700015,2024-11-05,,,2025-05-05
Stop the Early Release of all Domestic Abusers Under the SDS40 Scheme,https://petition.parliament.uk/petitions/700016,closed,2078,700016,2024-11-21,,,2025-05-21
Support families by bringing nannies into the 15/30 hours free childcare scheme,https://petition.parliament.uk/petitions/700017,closed,2257,700017,2024-10-31,,,2025-04-30
Don't put an extra duty on vape products,https://petition.parliament.uk/petitions/700018,closed,1048,700018,2024-11-06,,,2025-05-06
Adapt EYFS and KS1 Literacy Curriculums to be inclusive for Non-Verbal children,https://petition.parliament.uk/petitions/700021,closed,2026,700021,2024-11-05,,,2025-05-05
Ban fossil fuel advertising and sponsorship,https://petition.parliament.uk/petitions/700024,closed,110519,700024,2024-11-12,2025-05-08,2025-07-07,2025-05-12
Maintain the £3 bus fare cap permanently,https://petition.parliament.uk/petitions/700027,closed,628,700027,2024-11-01,,,2025-05-01
