"Petition","URL","State","Signatures Count"
"Make all official travel passes acceptable as voter ID","https://petition.parliament.uk/petitions/707482","open",29
"Ban social media for under-16s to protect children","https://petition.parliament.uk/petitions/710283","open",4098
"Increase funding to improve prison conditions and rehabilitation services","https://petition.parliament.uk/petitions/710288","open",35
"Pass an act for tartan woven in the Highlands, similar to Harris Tweed Act 1993","https://petition.parliament.uk/petitions/713728","open",1526
"Explain how the EU advisory referendum became a decision","https://petition.parliament.uk/petitions/713834","open",286
"Make smart meters compulsory, with a deadline","https://petition.parliament.uk/petitions/716436","open",13
"Ban air fresheners & scented products in public spaces","https://petition.parliament.uk/petitions/717866","open",945
"Amend Church of England (Powers) Act so either House can suspend it for a year","https://petition.parliament.uk/petitions/719005","open",29
"Restore foreign aid spending to 0.7% as pledged in the Labour manifesto","https://petition.parliament.uk/petitions/719428","open",44
"Create a law introducing specific offence of manslaughter by drug supply","https://petition.parliament.uk/petitions/721368","open",179
"£1000 fine for loud exhaust pipes & seize vehicles of repeat offenders","https://petition.parliament.uk/petitions/722204","open",213
"Establish an independent defence review board to axe obsolete military spending","https://petition.parliament.uk/petitions/722611","open",29
"Allow reregistration of births to remove a parent from the birth certificate","https://petition.parliament.uk/petitions/722755","open",20
"Withdraw UK from Ottawa Treaty and the Convention on Cluster Munitions","https://petition.parliament.uk/petitions/724168","open",13
"Ban 8 hour a week employment contracts","https://petition.parliament.uk/petitions/725120","open",26
"Legislate to explicitly ban the Portsmouth Defence","https://petition.parliament.uk/petitions/725139","open",30
"More legal aid for fathers seeking access to their children","https://petition.parliament.uk/petitions/725169","open",71
"Public inquiry into public bodies' Equality Act interpretation","https://petition.parliament.uk/petitions/725986","open",46
"New legislation to improve performance of companies in the public interest","https://petition.parliament.uk/petitions/726092","open",42
"Do not put transgender people into prisons of their birth sex","https://petition.parliament.uk/petitions/726169","open",563
"State that biological males must not be housed in women’s prisons","https://petition.parliament.uk/petitions/726212","open",682
"Review D&I workplace plans, particularly in emergency services & armed forces","https://petition.parliament.uk/petitions/726238","open",36
"We call on Government to urgently revise the mobile phone in schools guidance","https://petition.parliament.uk/petitions/726477","open",2355
"Require mobile network operators to provide PAC codes for previous 07 numbers","https://petition.parliament.uk/petitions/726634","open",20
