Petition,URL,State,Signatures Count,petition_id,opened_date,deadline_date,debate_threshold_reached,debate_date
Make all official travel passes acceptable as voter ID,https://petition.parliament.uk/petitions/707482,open,29,707482,2025-12-08,2026-06-08,,
Ban social media for under-16s to protect children,https://petition.parliament.uk/petitions/710283,open,4098,710283,2025-08-29,2026-02-28,,
Increase funding to improve prison conditions and rehabilitation services,https://petition.parliament.uk/petitions/710288,open,35,710288,2025-08-04,2026-02-04,,
"Pass an act for tartan woven in the Highlands, similar to Harris Tweed Act 1993",https://petition.parliament.uk/petitions/713728,open,1526,713728,2025-09-16,2026-03-16,,
Explain how the EU advisory referendum became a decision,https://petition.parliament.uk/petitions/713834,open,286,713834,2025-08-11,2026-02-11,,
"Make smart meters compulsory, with a deadline",https://petition.parliament.uk/petitions/716436,open,13,716436,2025-07-08,2026-01-08,,
Ban air fresheners & scented products in public spaces,https://petition.parliament.uk/petitions/717866,open,945,717866,2025-07-04,2026-01-04,,
Amend Church of England (Powers) Act so either House can suspend it for a year,https://petition.parliament.uk/petitions/719005,open,29,719005,2025-08-06,2026-02-06,,
Restore foreign aid spending to 0.7% as pledged in the Labour manifesto,https://petition.parliament.uk/petitions/719428,open,44,719428,2025-09-01,2026-03-01,,
Create a law introducing specific offence of manslaughter by drug supply,https://petition.parliament.uk/petitions/721368,open,179,721368,2025-07-25,2026-01-25,,
£1000 fine for loud exhaust pipes & seize vehicles of repeat offenders,https://petition.parliament.uk/petitions/722204,open,213,722204,2025-08-20,2026-02-20,,
Establish an independent defence review board to axe obsolete military spending,https://petition.parliament.uk/petitions/722611,open,29,722611,2025-08-07,2026-02-07,,
Allow reregistration of births to remove a parent from the birth certificate,https://petition.parliament.uk/petitions/722755,open,20,722755,2025-07-29,2026-01-29,,
Withdraw UK from Ottawa Treaty and the Convention on Cluster Munitions,https://petition.parliament.uk/petitions/724168,open,13,724168,2025-07-02,2026-01-02,,
Ban 8 hour a week employment contracts,https://petition.parliament.uk/petitions/725120,open,26,725120,2025-09-16,2026-03-16,,
Legislate to explicitly ban the Portsmouth Defence,https://petition.parliament.uk/petitions/725139,open,30,725139,2025-09-16,2026-03-16,,
More legal aid for fathers seeking access to their children,https://petition.parliament.uk/petitions/725169,open,71,725169,2025-07-24,2026-01-24,,
Public inquiry into public bodies' Equality Act interpretation,https://petition.parliament.uk/petitions/725986,open,46,725986,2025-07-17,2026-01-17,,
New legislation to improve performance of companies in the public interest,https://petition.parliament.uk/petitions/726092,open,42,726092,2025-09-15,2026-03-15,,
Do not put transgender people into prisons of their birth sex,https://petition.parliament.uk/petitions/726169,open,563,726169,2025-07-16,2026-01-16,,
State that biological males must not be housed in women’s prisons,https://petition.parliament.uk/petitions/726212,open,682,726212,2025-09-12,2026-03-12,,
"Review D&I workplace plans, particularly in emergency services & armed forces",https://petition.parliament.uk/petitions/726238,open,36,726238,2025-09-18,2026-03-18,,
We call on Government to urgently revise the mobile phone in schools guidance,https://petition.parliament.uk/petitions/726477,open,2355,726477,2025-08-06,2026-02-06,,
Require mobile network operators to provide PAC codes for previous 07 numbers,https://petition.parliament.uk/petitions/726634,open,20,726634,2025-07-16,2026-01-16,,
Protect Online Privacy – Ban Charging Users to Reject Tracking Cookies,https://petition.parliament.uk/petitions/726744,open,44,726744,2025-12-19,2026-06-19,,
Create an Autumn Bank Holiday in England & Wales,https://petition.parliament.uk/petitions/726755,open,24,726755,2025-12-02,2026-06-02,,
Add birth sex to special category data under GDPR,https://petition.parliament.uk/petitions/726809,open,45,726809,2025-10-10,2026-04-10,,
Mandate Local Hiring and Restrict Offshore Hiring of workers,https://petition.parliament.uk/petitions/726852,open,49,726852,2025-06-30,2025-12-30,,
Ban baled tyre exports to protect UK tyre recycling,https://petition.parliament.uk/petitions/726926,open,73,726926,2025-07-16,2026-01-16,,
Ban travel insurance premium hikes & refusals for people in clinical trials,https://petition.parliament.uk/petitions/726946,open,917,726946,2025-07-21,2026-01-21,,
Abolish and replace the Local Government Pension Scheme,https://petition.parliament.uk/petitions/726976,open,276,726976,2025-07-10,2026-01-10,,
Fund litter-picking stations on all public beaches,https://petition.parliament.uk/petitions/727015,open,48,727015,2025-07-01,2026-01-01,,
Allow English nurses to carry emergency prescription-only medications,https://petition.parliament.uk/petitions/727092,open,65,727092,2025-07-08,2026-01-08,,
"Make secondary schools teach about endometriosis, vaginismus & hormonal cycle",https://petition.parliament.uk/petitions/727120,open,1453,727120,2025-07-11,2026-01-11,,
 Make it Law for Water Companies to Object When Sewage Systems Are Over Capacity,https://petition.parliament.uk/petitions/727294,open,5103,727294,2025-07-10,2026-01-10,,
Scrap the BBC TV Licence & replace funding with adverts or paywall,https://petition.parliament.uk/petitions/727365,open,7357,727365,2025-07-01,2026-01-01,,
Make politicians legally responsible for their election promises,https://petition.parliament.uk/petitions/727386,open,202,727386,2025-09-08,2026-03-08,,
Immediately tighten immigration requirements,https://petition.parliament.uk/petitions/727491,open,579,727491,2025-06-27,2025-12-27,,
Ensure itemised contracted meals in childcare cost eligible for UC reimbursement,https://petition.parliament.uk/petitions/727502,open,27,727502,2025-06-30,2025-12-30,,
Review disciplinary processes for firearm officers in the line of duty,https://petition.parliament.uk/petitions/727571,open,123,727571,2025-07-11,2026-01-11,,
Require schools to notify parents if a pupil is distressed by results feedback,https://petition.parliament.uk/petitions/727657,open,2817,727657,2025-06-27,2025-12-27,,
Ban change of land use over a certain acreage or on the edge of towns/villages,https://petition.parliament.uk/petitions/727758,open,88,727758,2025-09-05,2026-03-05,,
Review protections for NHS skilled worker visa holders,https://petition.parliament.uk/petitions/727776,open,356,727776,2025-07-18,2026-01-18,,
End concurrent sentencing for heinous crimes,https://petition.parliament.uk/petitions/727899,open,5672,727899,2025-07-24,2026-01-24,,
Mark 30 years of DDA: Make all public buildings flat threshold,https://petition.parliament.uk/petitions/728064,open,174,728064,2025-07-03,2026-01-03,,
Introduce a ‘School Allergy Safety Bill’ to Protect School Pupils with Allergies,https://petition.parliament.uk/petitions/728067,open,13965,728067,2025-06-30,2025-12-30,,
Seek to amend the UK-India trade deal to ensure it is fair for UK IT workers,https://petition.parliament.uk/petitions/728091,open,66,728091,2025-07-16,2026-01-16,,
Review Pain Relief Standards For Invasive Women’s Health Procedures,https://petition.parliament.uk/petitions/728188,open,271,728188,2025-07-08,2026-01-08,,
Legislate to allow social services to force visits to non-engaging households,https://petition.parliament.uk/petitions/728195,open,967,728195,2025-07-14,2026-01-14,,
Introduce measures to protect women at risk of domestic violence,https://petition.parliament.uk/petitions/728371,open,1336,728371,2025-07-01,2026-01-01,,
Allow the release of wild boar and introduce a statutory close shooting season,https://petition.parliament.uk/petitions/728492,open,21,728492,2025-11-24,2026-05-24,,
The Government should block all trade with Israel including the blocking of arms,https://petition.parliament.uk/petitions/728574,open,1574,728574,2025-07-04,2026-01-04,,
Ban alcohol displays at checkouts and entrances in all supermarkets,https://petition.parliament.uk/petitions/728615,open,331,728615,2025-08-14,2026-02-14,,
Ban the sale of Israeli products until Israel ends its military actions in Gaza,https://petition.parliament.uk/petitions/728645,open,1068,728645,2025-07-08,2026-01-08,,
Overhaul and Enforce Reforms to Water Park Safety Regulations,https://petition.parliament.uk/petitions/728654,open,2279,728654,2025-07-01,2026-01-01,,
Require autism-friendly interview adjustments and sensory-friendly jobs,https://petition.parliament.uk/petitions/728699,open,289,728699,2025-06-30,2025-12-30,,
Introduce a super visa for parents to join the family the same as Canada,https://petition.parliament.uk/petitions/728719,open,344,728719,2025-06-30,2025-12-30,,
Allow letting agents to access tenants' criminal records before accepting,https://petition.parliament.uk/petitions/728727,open,60,728727,2025-06-30,2025-12-30,,
Require collaboration between social services and animal welfare to protect dogs,https://petition.parliament.uk/petitions/728732,open,54,728732,2025-06-27,2025-12-27,,
Fund free blood thinning medications for blood clots,https://petition.parliament.uk/petitions/728736,open,41,728736,2025-06-30,2025-12-30,,
Ban cheap renewable energy from being charged at the price of expensive gas,https://petition.parliament.uk/petitions/728752,open,642,728752,2025-07-09,2026-01-09,,
"Review all trade ties with Israel, suspend 2030 roadmap & impose trade sanctions",https://petition.parliament.uk/petitions/728765,open,11428,728765,2025-07-10,2026-01-10,,
Electric installation licence system & ban sale of materials to the unlicensed,https://petition.parliament.uk/petitions/728785,open,23,728785,2025-09-01,2026-03-01,,
Review consumer contract laws to stop non-agreed charges in construction,https://petition.parliament.uk/petitions/728806,open,23,728806,2025-11-06,2026-05-06,,
Fund the NHS to provide all services free at the point of use,https://petition.parliament.uk/petitions/728819,open,87,728819,2025-07-01,2026-01-01,,
Do not implement the Independent Sentencing Review and hold further review,https://petition.parliament.uk/petitions/728823,open,25,728823,2025-07-02,2026-01-02,,
Extend the winter fuel allowance for all over 60s & families with kids under-18,https://petition.parliament.uk/petitions/728844,open,123,728844,2025-07-10,2026-01-10,,
Allow Skilled workers to work unlimited extra hours with other employers,https://petition.parliament.uk/petitions/728846,open,155,728846,2025-06-30,2025-12-30,,
Abolish Penalty Points for Minor Speeding Offences,https://petition.parliament.uk/petitions/728856,open,53,728856,2025-06-30,2025-12-30,,
Introduce national service for all young people,https://petition.parliament.uk/petitions/728868,open,86,728868,2025-07-09,2026-01-09,,
No More Patchwork Paving: Change the resurfacing rules for utility companies.,https://petition.parliament.uk/petitions/728889,open,361,728889,2025-07-02,2026-01-02,,
Change foreign policy so the UK is neutral and not aligned with the 'West'.,https://petition.parliament.uk/petitions/728896,open,124,728896,2025-07-09,2026-01-09,,
"Ban ""small-scale fracking"" for onshore oil and gas",https://petition.parliament.uk/petitions/728912,open,10532,728912,2025-07-04,2026-01-04,,
Increase regulation of parking signage,https://petition.parliament.uk/petitions/728920,open,15622,728920,2025-07-07,2026-01-07,,
Remove custody sentence for some offences from Standard & Enhanced DBS check,https://petition.parliament.uk/petitions/728931,open,17,728931,2025-07-02,2026-01-02,,
Scrap sponsorship requirements for overseas healthcare workers to switch jobs,https://petition.parliament.uk/petitions/728943,open,25,728943,2025-08-14,2026-02-14,,
 Require unused website URLs to be made available after 12 months,https://petition.parliament.uk/petitions/728945,open,27,728945,2025-07-08,2026-01-08,,
Require companies to offer equal adoption and parental leave policies ,https://petition.parliament.uk/petitions/728950,open,40,728950,2025-07-09,2026-01-09,,
Ban surname changes for women after marriage,https://petition.parliament.uk/petitions/728965,open,18,728965,2025-07-02,2026-01-02,,
Create a Simpler Way to Upgrade from Automatic to Manual Driving Licence,https://petition.parliament.uk/petitions/728974,open,36,728974,2025-07-18,2026-01-18,,
Exempt medically discharged Commonwealth service people from immigration control,https://petition.parliament.uk/petitions/728988,open,188,728988,2025-07-09,2026-01-09,,
Reverse the ban on XL Bully dogs,https://petition.parliament.uk/petitions/729003,open,2975,729003,2025-07-09,2026-01-09,,
Leave the European Convention on Human Rights (ECHR),https://petition.parliament.uk/petitions/729027,open,22674,729027,2025-07-09,2026-01-09,,
Review Home Office Delays in processing immigration cases,https://petition.parliament.uk/petitions/729032,open,29,729032,2025-07-01,2026-01-01,,
Require car and phone makers to publish annual report of safety & repair issues,https://petition.parliament.uk/petitions/729052,open,26,729052,2025-07-04,2026-01-04,,
Require nurseries and early years providers to make social media pages private,https://petition.parliament.uk/petitions/729070,open,34,729070,2025-07-08,2026-01-08,,
Make Stamp Duty payment flexible,https://petition.parliament.uk/petitions/729071,open,2979,729071,2025-07-01,2026-01-01,,
Provide more funding for further biomedical research and education on CFS/ME,https://petition.parliament.uk/petitions/729073,open,1616,729073,2025-06-30,2025-12-30,,
Pause immigration until Home Office processes all pending asylum applications,https://petition.parliament.uk/petitions/729093,open,611,729093,2025-08-14,2026-02-14,,
Ban the sale of catapults and carrying catapults in public,https://petition.parliament.uk/petitions/729101,open,1276,729101,2025-07-01,2026-01-01,,
Ban industries serving food to the public from wearing latex gloves,https://petition.parliament.uk/petitions/729104,open,46,729104,2025-06-30,2025-12-30,,
Require care settings to carry out basic nail care,https://petition.parliament.uk/petitions/729118,open,26,729118,2025-07-02,2026-01-02,,
Introduce a free UK visa or other evacuation route for refugees from Gaza,https://petition.parliament.uk/petitions/729128,open,204,729128,2025-07-09,2026-01-09,,
Make using AI and generative language models in factual media a criminal offence,https://petition.parliament.uk/petitions/729133,open,84,729133,2025-06-30,2025-12-30,,
Fund mental health support for people who administered first aid,https://petition.parliament.uk/petitions/729144,open,110,729144,2025-07-01,2026-01-01,,
Review punishments for young offenders,https://petition.parliament.uk/petitions/729146,open,39,729146,2025-06-30,2025-12-30,,
Amend Section 27 of the Road Traffic Act 1988 to include all public highways,https://petition.parliament.uk/petitions/729152,open,868,729152,2025-06-30,2025-12-30,,
Recall of MPs Act to cover MPs excluded from parliamentary estate for 60 Days+,https://petition.parliament.uk/petitions/729157,open,39,729157,2025-08-06,2026-02-06,,
"Ban In-Contract Price Hikes—Honour Fixed Full Contract Deals, Despite Inflation",https://petition.parliament.uk/petitions/729185,open,58,729185,2025-07-02,2026-01-02,,
Do not release convicted domestic abusers early because of overcrowded prisons,https://petition.parliament.uk/petitions/729192,open,59,729192,2025-06-30,2025-12-30,,
Require AI companies to publish their training data,https://petition.parliament.uk/petitions/729195,open,59,729195,2025-07-01,2026-01-01,,
Hold a referendum on leaving the European Court of Human Rights,https://petition.parliament.uk/petitions/729212,open,11477,729212,2025-07-02,2026-01-02,,
Exempt 10+ year UK residents/taxpayers from the Life in the UK Test,https://petition.parliament.uk/petitions/729228,open,38,729228,2025-07-01,2026-01-01,,
Deport all illegal migrants in the United Kingdom,https://petition.parliament.uk/petitions/729231,open,16001,729231,2025-07-03,2026-01-03,,
Stop HMRC implementing making tax digital and enforcing quarterly submissions,https://petition.parliament.uk/petitions/729235,open,19989,729235,2025-07-02,2026-01-02,,
Remove VAT on all school uniform up to age 18,https://petition.parliament.uk/petitions/729243,open,483,729243,2025-08-06,2026-02-06,,
Hold tour operators accountable for the safety of accommodation provided,https://petition.parliament.uk/petitions/729245,open,79,729245,2025-07-02,2026-01-02,,
Remove parental responsibility from people convicted of DV with 10+ yr sentence,https://petition.parliament.uk/petitions/729258,open,447,729258,2025-08-15,2026-02-15,,
"Create a new, separate role of Police and Crime Commissioner for London",https://petition.parliament.uk/petitions/729259,open,67,729259,2025-07-08,2026-01-08,,
Require Government lecterns to always display the Coat of Arms,https://petition.parliament.uk/petitions/729272,open,21,729272,2025-07-08,2026-01-08,,
"Fund safe baby boxes for surrendering babies, for mothers & babies in need",https://petition.parliament.uk/petitions/729274,open,50,729274,2025-07-08,2026-01-08,,
Fund a Children & Young People’s Cancer Diagnosis Awareness Campaign,https://petition.parliament.uk/petitions/729287,open,448,729287,2025-07-07,2026-01-07,,
Fund more financial support for legal guardians of children and young people,https://petition.parliament.uk/petitions/729297,open,107,729297,2025-07-03,2026-01-03,,
Require internet providers to provide equal Internet Access for All Communities,https://petition.parliament.uk/petitions/729299,open,73,729299,2025-07-02,2026-01-02,,
Require all employers and schools to grant 3 days' holiday for Eid celebrations,https://petition.parliament.uk/petitions/729307,open,69,729307,2025-07-03,2026-01-03,,
Change England’s disabled bus pass so it can be used at any time on weekdays,https://petition.parliament.uk/petitions/729326,open,932,729326,2025-07-10,2026-01-10,,
New policies on deporting legal and illegal migrants & full ECHR withdrawal,https://petition.parliament.uk/petitions/729333,open,2515,729333,2025-07-18,2026-01-18,,
"Seek free movement agreement with Australia, Canada & New Zealand",https://petition.parliament.uk/petitions/729351,open,218,729351,2025-07-02,2026-01-02,,
"Require galleries segregate artists' sale proceeds, protect them from insolvency",https://petition.parliament.uk/petitions/729356,open,205,729356,2025-07-02,2026-01-02,,
"Raise the VAT threshold to £250,000 for small businesses",https://petition.parliament.uk/petitions/729362,open,107,729362,2025-07-08,2026-01-08,,
Do not change Access to Work scheme,https://petition.parliament.uk/petitions/729364,open,67,729364,2025-07-11,2026-01-11,,
Ban political parties from accepting party donations through cryptocurrency,https://petition.parliament.uk/petitions/729369,open,70,729369,2025-09-16,2026-03-16,,
Create a bank holiday on 12 July 2027 to celebrate the unification of England,https://petition.parliament.uk/petitions/729375,open,309,729375,2025-07-01,2026-01-01,,
Seek to join the European Economic Area,https://petition.parliament.uk/petitions/729377,open,52,729377,2025-07-08,2026-01-08,,
Fund healthcare framework and pathways for adults with Cerebral Palsy,https://petition.parliament.uk/petitions/729390,open,457,729390,2025-07-22,2026-01-22,,
"Review & transition voting to secure, encrypted, decentralized ledger technology",https://petition.parliament.uk/petitions/729408,open,37,729408,2025-07-07,2026-01-07,,
Require public sector funds to fully divest from the fossil fuel industry,https://petition.parliament.uk/petitions/729412,open,66,729412,2025-08-06,2026-02-06,,
No tax or national insurance on overtime for emergency service workers,https://petition.parliament.uk/petitions/729428,open,7832,729428,2025-06-30,2025-12-30,,
Require cyclists to wear helmets in cities by law,https://petition.parliament.uk/petitions/729430,open,73,729430,2025-07-15,2026-01-15,,
"Halt the new vaping duty tax, help protect small British businesses & consumers",https://petition.parliament.uk/petitions/729435,open,1758,729435,2025-07-01,2026-01-01,,
Make Play and Continuous Provision statutory in England's Key Stage 1 Curriculum,https://petition.parliament.uk/petitions/729440,open,105990,729440,2025-07-03,2026-01-03,2025-10-30,2026-01-26
Create a statutory body to oversee university academic appeals,https://petition.parliament.uk/petitions/729450,open,17,729450,2025-07-14,2026-01-14,,
Forced adoption inquiry & review adoption process/contact with birth families,https://petition.parliament.uk/petitions/729452,open,44,729452,2025-07-03,2026-01-03,,
Require neurodiversity education for children in schools,https://petition.parliament.uk/petitions/729455,open,348,729455,2025-06-30,2025-12-30,,
Keep the 2 child benefit cap,https://petition.parliament.uk/petitions/729459,open,7727,729459,2025-07-04,2026-01-04,,
Transparency and Review of the free zones and ports impacts,https://petition.parliament.uk/petitions/729478,open,10486,729478,2025-06-30,2025-12-30,,
Consult on and negotiate a youth mobility scheme with the EU,https://petition.parliament.uk/petitions/729480,open,433,729480,2025-07-01,2026-01-01,,
Close the Borders! Suspend ALL immigration for 5 years!,https://petition.parliament.uk/petitions/729482,open,7336,729482,2025-07-11,2026-01-11,,
Review Shared Ownership Salary Cap,https://petition.parliament.uk/petitions/729487,open,23,729487,2025-07-02,2026-01-02,,
Ban courier companies leaving parcels outside doors & fines for poor quality,https://petition.parliament.uk/petitions/729535,open,46,729535,2025-07-01,2026-01-01,,
Donate a small number of retired jets to Ukraine,https://petition.parliament.uk/petitions/729541,open,75,729541,2025-07-04,2026-01-04,,
Ban the use of pesticides in children’s playgrounds and in schools in England,https://petition.parliament.uk/petitions/729555,open,269,729555,2025-09-01,2026-03-01,,
Fund full clinical trials naltrexone to treat cancer,https://petition.parliament.uk/petitions/729564,open,1689,729564,2025-07-03,2026-01-03,,
Require all dog groomers to have formal qualifications,https://petition.parliament.uk/petitions/729581,open,25,729581,2025-07-01,2026-01-01,,
Make it an offence for a person's dog to kill another pet and prosecute owners,https://petition.parliament.uk/petitions/729597,open,61575,729597,2025-07-02,2026-01-02,,
"Review the DVLA (Driver & Vehicle Licensing Agency), including digitalisation",https://petition.parliament.uk/petitions/729604,open,528,729604,2025-07-07,2026-01-07,,
Fund/establish free virtual school for those unable to attend mainstream school,https://petition.parliament.uk/petitions/729623,open,32,729623,2025-07-01,2026-01-01,,
Apply proposed changes to the ILR qualifying period to those already here,https://petition.parliament.uk/petitions/729635,open,1959,729635,2025-07-07,2026-01-07,,
Review & regulate weight loss and health journey content on social media,https://petition.parliament.uk/petitions/729654,open,700,729654,2025-07-01,2026-01-01,,
"New Right to Buy discounts, social housing replacement and stricter resale rules",https://petition.parliament.uk/petitions/729656,open,96,729656,2025-07-07,2026-01-07,,
Review the medicines regulator and yellow card system to put the patient first,https://petition.parliament.uk/petitions/729668,open,113,729668,2025-07-02,2026-01-02,,
Do not use any taxpayer funds on asylum appeals. Charge the individual,https://petition.parliament.uk/petitions/729670,open,380,729670,2025-07-02,2026-01-02,,
Reinstate funding for all Level 7 solicitor apprenticeships,https://petition.parliament.uk/petitions/729675,open,18,729675,2025-07-01,2026-01-01,,
Create pathway for Afghans due to be resettled in the US to seek asylum in UK,https://petition.parliament.uk/petitions/729677,open,24,729677,2025-08-14,2026-02-14,,
Fund Rent payments for Working Care Leavers in Supported Accommodation,https://petition.parliament.uk/petitions/729679,open,223,729679,2025-07-01,2026-01-01,,
Change State Pension Eligibility Age For Builders And Groundworkers,https://petition.parliament.uk/petitions/729690,open,32,729690,2025-07-02,2026-01-02,,
Ban the non-stun slaughter of animals,https://petition.parliament.uk/petitions/729708,open,1138,729708,2025-09-01,2026-03-01,,
Tax small food businesses on sales after delivery platform deductions,https://petition.parliament.uk/petitions/729714,open,54,729714,2025-07-02,2026-01-02,,
Stop all armaments exports to Israel,https://petition.parliament.uk/petitions/729717,open,514,729717,2025-07-02,2026-01-02,,
Require schools to use world maps that reflect a country/continents true size,https://petition.parliament.uk/petitions/729778,open,27,729778,2025-07-01,2026-01-01,,
Clarify the legal definition of “adjacent to a highway” in planning law,https://petition.parliament.uk/petitions/729779,open,24,729779,2025-09-15,2026-03-15,,
Fund programme to humanely relocate seals found in rivers,https://petition.parliament.uk/petitions/729782,open,190,729782,2025-07-03,2026-01-03,,
Legalise E-Scooters for disabled people who are able to use them,https://petition.parliament.uk/petitions/729792,open,43,729792,2025-07-01,2026-01-01,,
Lower sponsorship costs and requirements for skilled immigrant workers in the UK,https://petition.parliament.uk/petitions/729798,open,36,729798,2025-07-01,2026-01-01,,
Full public funding for Level 7 Apprenticeships for people aged 22+,https://petition.parliament.uk/petitions/729844,open,46,729844,2025-07-01,2026-01-01,,
Send flotilla of ships with aid to break Israel’s blockade,https://petition.parliament.uk/petitions/729861,open,590,729861,2025-07-31,2026-01-31,,
Independent Body to deal with misconduct in Public Services & training,https://petition.parliament.uk/petitions/729869,open,236,729869,2025-07-04,2026-01-04,,
Make provision for a Global BBC licence fee,https://petition.parliament.uk/petitions/729873,open,32,729873,2025-07-04,2026-01-04,,
Fund an integrated program: Sleeping pods for the Homeless by the Homeless,https://petition.parliament.uk/petitions/729879,open,64,729879,2025-07-08,2026-01-08,,
All UK homeless citizens should be prioritised for hotel accommodation,https://petition.parliament.uk/petitions/729887,open,261,729887,2025-09-17,2026-03-17,,
"Cyclists to be licenced, registered to be on the road and have insurance",https://petition.parliament.uk/petitions/729915,open,309,729915,2025-07-01,2026-01-01,,
