petition_title,petition_url,status,total_signature_count,petition_id,opened_at,deadline,debate_threshold_reached_at,scheduled_debate_date
Make Laser Eye Surgery Available on the NHS for Adults with Stable Prescriptions,https://petition.parliament.uk/petitions/724881,open,35,724881,2026-03-20,2026-09-20,,
Tax all assets and profits over £1bn by 100% and abolish non-doms,https://petition.parliament.uk/petitions/725667,open,85,725667,2026-05-14,2026-11-14,,
To legally require that everyone be registered with an NHS counsellor,https://petition.parliament.uk/petitions/726868,open,33,726868,2026-05-08,2026-11-08,,
Review Maternal Vaccine-Induced IL-6 Responses on Foetal Brain Development,https://petition.parliament.uk/petitions/732380,open,16,732380,2026-02-09,2026-08-09,,
Cap legal fees for divorce cases and remove or reduce VAT,https://petition.parliament.uk/petitions/733139,open,310,733139,2026-02-02,2026-08-02,,
Provide more funding and aid for children's education in Gaza,https://petition.parliament.uk/petitions/733714,open,91,733714,2026-05-15,2026-11-15,,
Put pressure on Saudi Arabia regarding executions and death penalty,https://petition.parliament.uk/petitions/736525,open,154,736525,2026-01-14,2026-07-14,,
Make international womens day a bank holiday,https://petition.parliament.uk/petitions/736931,open,29,736931,2026-02-12,2026-08-12,,
Fund subsidised school uniforms,https://petition.parliament.uk/petitions/738413,open,22,738413,2026-04-27,2026-10-27,,
Change laws regarding abuse of multiple animals,https://petition.parliament.uk/petitions/738567,open,16586,738567,2026-01-13,2026-07-13,,
Review how law is enforced around sharing graphic violence/death on social media,https://petition.parliament.uk/petitions/740739,open,31,740739,2026-01-08,2026-07-08,,
Ban CCJs for private parking fines from being included in credit files,https://petition.parliament.uk/petitions/740931,open,30,740931,2026-03-03,2026-09-03,,
Require local authorities to remove all flags from street furniture,https://petition.parliament.uk/petitions/745118,open,695,745118,2026-02-04,2026-08-04,,
Protect the Right to Live Without a Digital ID,https://petition.parliament.uk/petitions/745717,open,22997,745717,2026-01-02,2026-07-02,,
Review transparency of broadband company exit fees including off-net move fees,https://petition.parliament.uk/petitions/746332,open,62,746332,2026-01-08,2026-07-08,,
Mandate all teachers in mainstream schools receive SEN & mental health training,https://petition.parliament.uk/petitions/746351,open,186,746351,2026-01-14,2026-07-14,,
Provide funding for rape and sexual assault testing facilities in all hospitals,https://petition.parliament.uk/petitions/746531,open,55,746531,2026-02-05,2026-08-05,,
Mandate a 72-hour period before formal acceptance of a dog surrender document,https://petition.parliament.uk/petitions/747580,open,2394,747580,2026-01-07,2026-07-07,,
Give men legal opt-out from parental responsibility in unintended pregnancies,https://petition.parliament.uk/petitions/747586,open,29,747586,2026-02-09,2026-08-09,,
Legislate against online censorship of keywords related to women's health/bodies,https://petition.parliament.uk/petitions/747977,open,40,747977,2026-01-08,2026-07-08,,
Review Coercive Control Law and Police Training,https://petition.parliament.uk/petitions/748077,open,36,748077,2026-01-13,2026-07-13,,
Abolish visa fees for spouses of British citizens and parents of British kids,https://petition.parliament.uk/petitions/748244,open,33,748244,2026-04-16,2026-10-16,,
Reduce national speed limits on single carriageways,https://petition.parliament.uk/petitions/748359,open,5253,748359,2026-01-05,2026-07-05,,
Reintroduce the death penalty for murder,https://petition.parliament.uk/petitions/748625,open,292,748625,2026-01-13,2026-07-13,,
Require companies to match board bonuses with employee-wide bonus distributions,https://petition.parliament.uk/petitions/748638,open,37,748638,2026-03-18,2026-09-18,,
Ban charity platforms charging transaction or processing fees,https://petition.parliament.uk/petitions/748734,open,32,748734,2026-01-26,2026-07-26,,
"Abolish ""Polkey deductions"" in compensation for unfair dismissal",https://petition.parliament.uk/petitions/748744,open,22,748744,2025-12-30,2026-06-30,,
Decriminalise not having a TV licence,https://petition.parliament.uk/petitions/749261,open,238,749261,2026-03-13,2026-09-13,,
Stricter Sentences for Serious Offenders and Improved Community Safety,https://petition.parliament.uk/petitions/749459,open,69,749459,2026-01-05,2026-07-05,,
Increase funding for MND research,https://petition.parliament.uk/petitions/749859,open,1538,749859,2026-01-05,2026-07-05,,
"Fund Stocks & Shares ISAs for every child, transitioning to pensions as they age",https://petition.parliament.uk/petitions/749946,open,28,749946,2025-12-30,2026-06-30,,
Amend BBC's Royal charter to bar and remove political advisers from BBC Board,https://petition.parliament.uk/petitions/750310,open,99,750310,2026-01-08,2026-07-08,,
Require family involvement in the care of adults with severe mental illness,https://petition.parliament.uk/petitions/750399,open,116,750399,2026-01-09,2026-07-09,,
Require carbon monoxide detectors to be installed in all new cars by law,https://petition.parliament.uk/petitions/750499,open,66,750499,2026-01-05,2026-07-05,,
Make abortion and bodily autonomy a legal right,https://petition.parliament.uk/petitions/750514,open,157,750514,2026-01-09,2026-07-09,,
Abolish Ground Rent for Existing Residential Leasehold Properties,https://petition.parliament.uk/petitions/750566,open,15625,750566,2026-01-06,2026-07-06,,
Make coercive or controlling behaviour leading to suicide a specific offence,https://petition.parliament.uk/petitions/750575,open,409,750575,2025-12-29,2026-06-29,,
